,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,Man United,Leicester,1.0,1.0,D
1,Bournemouth,Cardiff,1.0,1.0,D
2,Fulham,Crystal Palace,1.0,2.0,A
3,Huddersfield,Chelsea,1.0,2.0,A
4,Newcastle,Tottenham,1.0,1.0,D
5,Watford,Brighton,1.0,2.0,A
6,Wolves,Everton,1.0,2.0,A
7,Arsenal,Man City,1.0,2.0,A
8,Liverpool,West Ham,2.0,1.0,H
9,Southampton,Burnley,1.0,2.0,A
10,Cardiff,Newcastle,0.0,2.0,A
11,Chelsea,Arsenal,1.0,1.0,D
12,Everton,Southampton,1.0,1.0,D
13,Leicester,Wolves,2.0,1.0,H
14,Tottenham,Fulham,1.0,1.0,D
15,West Ham,Bournemouth,2.0,2.0,D
16,Brighton,Man United,1.0,2.0,A
17,Burnley,Watford,1.0,1.0,D
18,Man City,Huddersfield,2.0,1.0,H
19,Crystal Palace,Liverpool,1.0,2.0,A
20,Arsenal,West Ham,2.0,1.0,H
21,Bournemouth,Everton,1.0,2.0,A
22,Huddersfield,Cardiff,1.0,1.0,D
23,Liverpool,Brighton,2.0,1.0,H
24,Southampton,Leicester,1.0,2.0,A
25,Wolves,Man City,-1.0,2.0,A
26,Fulham,Burnley,1.0,2.0,A
27,Newcastle,Chelsea,1.0,1.0,D
28,Watford,Crystal Palace,1.0,2.0,A
29,Man United,Tottenham,1.0,1.0,D
30,Brighton,Fulham,1.0,1.0,D
31,Chelsea,Bournemouth,1.0,1.0,D
32,Crystal Palace,Southampton,1.0,1.0,D
33,Everton,Huddersfield,1.0,1.0,D
34,Leicester,Liverpool,2.0,2.0,D
35,Man City,Newcastle,2.0,1.0,H
36,West Ham,Wolves,1.0,1.0,D
37,Burnley,Man United,1.0,1.0,D
38,Cardiff,Arsenal,0.0,2.0,A
39,Watford,Tottenham,1.0,2.0,A
40,Bournemouth,Leicester,1.0,2.0,A
41,Chelsea,Cardiff,1.0,0.0,H
42,Huddersfield,Crystal Palace,1.0,2.0,A
43,Man City,Fulham,2.0,1.0,H
44,Newcastle,Arsenal,1.0,1.0,D
45,Tottenham,Liverpool,1.0,1.0,D
46,Watford,Man United,1.0,2.0,A
47,Everton,West Ham,1.0,1.0,D
48,Wolves,Burnley,1.0,2.0,A
49,Southampton,Brighton,1.0,2.0,A
50,Brighton,Tottenham,1.0,2.0,A
51,Burnley,Bournemouth,1.0,1.0,D
52,Cardiff,Man City,0.0,2.0,A
53,Crystal Palace,Newcastle,1.0,2.0,A
54,Fulham,Watford,0.0,1.0,A
55,Leicester,Huddersfield,2.0,1.0,H
56,Liverpool,Southampton,2.0,1.0,H
57,Man United,Wolves,1.0,0.0,H
58,Arsenal,Everton,2.0,2.0,D
59,West Ham,Chelsea,1.0,2.0,A
60,Arsenal,Watford,2.0,1.0,H
61,Chelsea,Liverpool,1.0,1.0,D
62,Everton,Fulham,1.0,1.0,D
63,Huddersfield,Tottenham,1.0,2.0,A
64,Man City,Brighton,2.0,1.0,H
65,Newcastle,Leicester,1.0,1.0,D
66,West Ham,Man United,1.0,2.0,A
67,Wolves,Southampton,0.0,2.0,A
68,Cardiff,Burnley,-1.0,2.0,A
69,Bournemouth,Crystal Palace,1.0,2.0,A
70,Brighton,West Ham,1.0,1.0,D
71,Burnley,Huddersfield,1.0,1.0,D
72,Crystal Palace,Wolves,1.0,1.0,D
73,Leicester,Everton,2.0,2.0,D
74,Man United,Newcastle,1.0,1.0,D
75,Tottenham,Cardiff,1.0,1.0,D
76,Watford,Bournemouth,1.0,2.0,A
77,Fulham,Arsenal,-0.0,2.0,A
78,Liverpool,Man City,1.0,1.0,D
79,Southampton,Chelsea,1.0,2.0,A
80,Bournemouth,Southampton,1.0,1.0,D
81,Cardiff,Fulham,0.0,1.0,A
82,Chelsea,Man United,1.0,1.0,D
83,Huddersfield,Liverpool,1.0,2.0,A
84,Man City,Burnley,2.0,2.0,D
85,Newcastle,Brighton,1.0,1.0,D
86,West Ham,Tottenham,1.0,2.0,A
87,Wolves,Watford,0.0,2.0,A
88,Everton,Crystal Palace,1.0,1.0,D
89,Arsenal,Leicester,2.0,1.0,H
90,Brighton,Wolves,1.0,1.0,D
91,Fulham,Bournemouth,1.0,2.0,A
92,Leicester,West Ham,2.0,1.0,H
93,Liverpool,Cardiff,2.0,1.0,H
94,Southampton,Newcastle,1.0,2.0,A
95,Watford,Huddersfield,1.0,2.0,A
96,Burnley,Chelsea,1.0,1.0,D
97,Crystal Palace,Arsenal,1.0,2.0,A
98,Man United,Everton,1.0,1.0,D
99,Tottenham,Man City,1.0,1.0,D
100,Arsenal,Liverpool,2.0,1.0,H
101,Bournemouth,Man United,1.0,2.0,A
102,Cardiff,Leicester,-0.0,2.0,A
103,Everton,Brighton,1.0,1.0,D
104,Newcastle,Watford,1.0,1.0,D
105,West Ham,Burnley,1.0,2.0,A
106,Wolves,Tottenham,1.0,2.0,A
107,Chelsea,Crystal Palace,1.0,1.0,D
108,Man City,Southampton,2.0,1.0,H
109,Huddersfield,Fulham,1.0,1.0,D
110,Cardiff,Brighton,0.0,2.0,A
