,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,Liverpool,Norwich,2.0,0.0,H
1,West Ham,Man City,1.0,2.0,A
2,Bournemouth,Sheffield Utd,2.0,1.0,H
3,Burnley,Southampton,2.0,1.0,H
4,Crystal Palace,Everton,2.0,2.0,D
5,Watford,Brighton,2.0,1.0,H
6,Tottenham,Aston Villa,2.0,0.0,H
7,Leicester,Wolves,1.0,1.0,D
8,Newcastle,Arsenal,1.0,1.0,D
9,Man United,Chelsea,2.0,1.0,H
10,Arsenal,Burnley,2.0,1.0,H
11,Aston Villa,Bournemouth,1.0,2.0,A
12,Brighton,West Ham,1.0,2.0,A
13,Everton,Watford,2.0,1.0,H
14,Norwich,Newcastle,0.0,2.0,A
15,Southampton,Liverpool,1.0,2.0,A
16,Man City,Tottenham,2.0,1.0,H
17,Sheffield Utd,Crystal Palace,-0.0,1.0,A
18,Chelsea,Leicester,2.0,1.0,H
19,Wolves,Man United,1.0,1.0,D
20,Aston Villa,Everton,1.0,2.0,A
21,Norwich,Chelsea,1.0,2.0,A
22,Brighton,Southampton,1.0,1.0,D
23,Man United,Crystal Palace,2.0,1.0,H
24,Sheffield Utd,Leicester,1.0,2.0,A
25,Watford,West Ham,2.0,1.0,H
26,Wolves,Burnley,2.0,1.0,H
27,Liverpool,Arsenal,2.0,1.0,H
28,Bournemouth,Man City,1.0,2.0,A
29,Tottenham,Newcastle,2.0,1.0,H
30,Southampton,Man United,1.0,2.0,A
31,Chelsea,Sheffield Utd,2.0,0.0,H
32,Crystal Palace,Aston Villa,2.0,1.0,H
33,Leicester,Bournemouth,2.0,1.0,H
34,Man City,Brighton,2.0,1.0,H
35,Newcastle,Watford,1.0,1.0,D
36,West Ham,Norwich,2.0,0.0,H
37,Burnley,Liverpool,1.0,2.0,A
38,Everton,Wolves,1.0,1.0,D
39,Arsenal,Tottenham,2.0,1.0,H
40,Liverpool,Newcastle,2.0,1.0,H
41,Brighton,Burnley,1.0,1.0,D
42,Man United,Leicester,2.0,1.0,H
43,Sheffield Utd,Southampton,1.0,2.0,A
44,Tottenham,Crystal Palace,2.0,1.0,H
45,Wolves,Chelsea,1.0,1.0,D
46,Norwich,Man City,-0.0,2.0,A
47,Bournemouth,Everton,2.0,2.0,D
48,Watford,Arsenal,1.0,2.0,A
49,Aston Villa,West Ham,0.0,1.0,A
50,Southampton,Bournemouth,2.0,1.0,H
51,Leicester,Tottenham,1.0,1.0,D
52,Burnley,Norwich,2.0,1.0,H
53,Crystal Palace,Wolves,1.0,2.0,A
54,Everton,Sheffield Utd,2.0,0.0,H
55,Man City,Watford,2.0,1.0,H
56,Newcastle,Brighton,1.0,1.0,D
57,West Ham,Man United,1.0,1.0,D
58,Arsenal,Aston Villa,2.0,1.0,H
59,Chelsea,Liverpool,1.0,1.0,D
60,Sheffield Utd,Liverpool,-0.0,2.0,A
61,Bournemouth,West Ham,2.0,2.0,D
62,Aston Villa,Burnley,0.0,1.0,A
63,Chelsea,Brighton,2.0,1.0,H
64,Crystal Palace,Norwich,2.0,1.0,H
65,Tottenham,Southampton,2.0,1.0,H
66,Wolves,Watford,1.0,1.0,D
