position,team,points,wins,draws,losses,goals scored,goals conceded,goal difference,away wins,Total Matches
1,Man City,90,26,12,0,69.0,37.0,32.0,12,38
2,Liverpool,82,23,13,2,66.0,44.0,22.0,10,38
3,Tottenham,80,21,17,0,63.0,40.0,23.0,10,38
4,Arsenal,74,21,11,6,63.0,45.0,18.0,9,38
5,Man United,66,14,24,0,51.0,34.0,17.0,11,38
6,Chelsea,66,14,24,0,52.0,36.0,16.0,11,38
7,Leicester,65,16,17,5,63.0,51.0,12.0,9,38
8,Burnley,62,12,26,0,52.0,38.0,14.0,10,38
9,Everton,57,10,27,1,52.0,42.0,10.0,9,38
10,Newcastle,56,11,23,4,48.0,39.0,9.0,9,38
11,Crystal Palace,40,8,16,14,48.0,52.0,-4.0,8,38
12,West Ham,38,6,20,12,54.0,57.0,-3.0,5,38
13,Bournemouth,35,6,17,15,47.0,52.0,-5.0,6,38
14,Brighton,32,5,17,16,43.0,52.0,-9.0,5,38
15,Huddersfield,31,5,16,17,42.0,54.0,-12.0,5,38
16,Watford,26,4,14,20,41.0,56.0,-15.0,4,38
17,Southampton,22,3,13,22,40.0,58.0,-18.0,3,38
18,Fulham,18,2,12,24,20.0,49.0,-29.0,2,38
19,Wolves,18,2,12,24,15.0,51.0,-36.0,2,38
20,Cardiff,12,1,9,28,10.0,52.0,-42.0,1,38
